sar_id,customer_id,filing_date,suspicious_activity_type,amount_involved,narrative,status
SAR-0001,CUST-000913,2026-03-16,Rapid movement of funds,252442.94,"Suspicious activity detected: Rapid movement of funds. Investigation revealed transactions totaling $252,442.94. Enhanced due diligence initiated.",closed
SAR-0002,CUST-000840,2025-04-16,Trade-based money laundering,96069.44,"Alert generated for trade-based money laundering. Review of account activity shows $96,069.44 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0003,CUST-000245,2026-02-09,Round dollar amounts,240334.28,"Customer CUST-000245 engaged in round dollar amounts. Multiple transactions totaling $240,334.28 observed over 30-day period. Pattern inconsistent with known business activity.",closed
SAR-0004,CUST-001629,2025-04-30,Trade-based money laundering,425324.62,"Alert generated for trade-based money laundering. Review of account activity shows $425,324.62 in questionable transfers. SAR filed per BSA requirements.",closed
SAR-0005,CUST-002279,2026-03-25,Large cash deposits,701158.0,"Series of transactions indicative of large cash deposits. Total amount: $701,158.00. Customer unable to provide satisfactory explanation.",under_review
SAR-0006,CUST-001274,2025-12-08,High-risk jurisdiction transfer,111188.17,"Alert generated for high-risk jurisdiction transfer. Review of account activity shows $111,188.17 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0007,CUST-002941,2025-10-03,Currency exchange patterns,271875.66,"Customer CUST-002941 engaged in currency exchange patterns. Multiple transactions totaling $271,875.66 observed over 30-day period. Pattern inconsistent with known business activity.",closed
SAR-0008,CUST-003764,2025-06-27,Unusual wire transfer pattern,973384.61,"Alert generated for unusual wire transfer pattern. Review of account activity shows $973,384.61 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0009,CUST-004523,2025-10-29,Currency exchange patterns,886597.23,"Series of transactions indicative of currency exchange patterns. Total amount: $886,597.23. Customer unable to provide satisfactory explanation.",closed
SAR-0010,CUST-001576,2025-04-02,Unusual wire transfer pattern,55366.14,"Suspicious activity detected: Unusual wire transfer pattern. Investigation revealed transactions totaling $55,366.14. Enhanced due diligence initiated.",under_review
SAR-0011,CUST-000654,2025-11-29,Unusual wire transfer pattern,386324.96,"Alert generated for unusual wire transfer pattern. Review of account activity shows $386,324.96 in questionable transfers. SAR filed per BSA requirements.",closed
SAR-0012,CUST-002989,2026-01-04,High-risk jurisdiction transfer,361717.99,"Series of transactions indicative of high-risk jurisdiction transfer. Total amount: $361,717.99. Customer unable to provide satisfactory explanation.",closed
SAR-0013,CUST-000585,2025-05-21,Large cash deposits,538798.48,"Suspicious activity detected: Large cash deposits. Investigation revealed transactions totaling $538,798.48. Enhanced due diligence initiated.",filed
SAR-0014,CUST-003787,2025-09-15,Rapid movement of funds,989628.12,"Suspicious activity detected: Rapid movement of funds. Investigation revealed transactions totaling $989,628.12. Enhanced due diligence initiated.",closed
SAR-0015,CUST-002657,2026-02-28,Round dollar amounts,823584.57,"Series of transactions indicative of round dollar amounts. Total amount: $823,584.57. Customer unable to provide satisfactory explanation.",under_review
SAR-0016,CUST-002194,2026-02-23,Round dollar amounts,914004.76,"Series of transactions indicative of round dollar amounts. Total amount: $914,004.76. Customer unable to provide satisfactory explanation.",filed
SAR-0017,CUST-004090,2025-09-07,Shell company indicators,151442.87,"Suspicious activity detected: Shell company indicators. Investigation revealed transactions totaling $151,442.87. Enhanced due diligence initiated.",filed
SAR-0018,CUST-004599,2025-06-26,Rapid movement of funds,749543.67,"Alert generated for rapid movement of funds. Review of account activity shows $749,543.67 in questionable transfers. SAR filed per BSA requirements.",closed
