txn_id,date,sender_account,receiver_account,amount,currency,txn_type,is_suspicious,SAR_filed
TXN-00000001,2025-05-05,CUST-000913,CUST-000205,1232.01,USD,ATM,False,False
TXN-00000002,2025-06-22,CUST-000713,CUST-004838,158.69,USD,withdrawal,False,False
TXN-00000003,2026-03-15,CUST-004598,CUST-001629,3509.61,USD,withdrawal,False,False
TXN-00000004,2025-11-06,CUST-000054,CUST-001308,1707.85,USD,withdrawal,False,False
TXN-00000005,2025-10-07,CUST-000838,CUST-000760,1801.31,USD,check,False,False
TXN-00000006,2026-03-06,CUST-003764,CUST-004393,4612.25,USD,check,False,False
TXN-00000007,2025-05-11,CUST-002963,CUST-004730,357.08,GBP,withdrawal,False,False
TXN-00000008,2026-02-16,CUST-001908,CUST-000828,2272.52,MXN,transfer,False,False
TXN-00000009,2025-09-28,CUST-001717,CUST-002188,3420.9,USD,check,False,False
TXN-00000010,2025-06-28,CUST-002006,CUST-001339,1357.04,GBP,ATM,False,False
TXN-00000011,2025-04-12,CUST-002657,CUST-000459,170.18,USD,wire,False,False
TXN-00000012,2025-12-10,CUST-004647,CUST-002578,2501.16,GBP,wire,False,False
TXN-00000013,2026-01-16,CUST-002021,CUST-004599,3737.6,USD,check,False,False
TXN-00000014,2025-12-06,CUST-001134,CUST-004175,3781.35,MXN,deposit,False,False
TXN-00000015,2026-01-06,CUST-003459,CUST-004886,1914.28,USD,check,False,False
TXN-00000016,2025-06-18,CUST-000095,CUST-000939,2689.48,USD,ATM,False,False
TXN-00000017,2025-10-29,CUST-003562,CUST-001296,4769.54,GBP,transfer,False,False
TXN-00000018,2025-12-27,CUST-004159,CUST-000872,1499.24,GBP,check,False,False
TXN-00000019,2026-01-09,CUST-003064,CUST-001324,3895.35,EUR,deposit,False,False
TXN-00000020,2025-07-21,CUST-000160,CUST-000917,42424.95,USD,withdrawal,False,False
TXN-00000021,2025-06-11,CUST-000646,CUST-000702,4081.96,MXN,check,False,False
TXN-00000022,2026-01-22,CUST-003894,CUST-004504,2643.09,EUR,wire,False,False
TXN-00000023,2025-06-25,CUST-001648,CUST-002554,3361.72,USD,wire,False,False
TXN-00000024,2025-08-09,CUST-000992,CUST-002031,1697.05,EUR,check,False,False
TXN-00000025,2025-12-06,CUST-000059,CUST-000582,303.78,USD,deposit,False,False
TXN-00000026,2026-02-20,CUST-004212,CUST-001950,2432.22,EUR,withdrawal,False,False
TXN-00000027,2025-06-09,CUST-004721,CUST-003873,2370.13,USD,withdrawal,False,False
TXN-00000028,2025-04-25,CUST-003532,CUST-002903,2340.45,GBP,deposit,False,False
TXN-00000029,2025-05-02,CUST-000807,CUST-000497,1703.12,MXN,deposit,False,False
TXN-00000030,2025-12-21,CUST-004394,CUST-003676,925.61,USD,withdrawal,False,False
TXN-00000031,2026-02-18,CUST-003631,CUST-004509,3264.2,EUR,deposit,False,False
TXN-00000032,2025-11-27,CUST-001363,CUST-003330,1076.6,USD,deposit,False,False
TXN-00000033,2026-03-27,CUST-003199,CUST-002173,17836.22,GBP,ATM,False,False
TXN-00000034,2025-06-17,CUST-003987,CUST-001269,1096.33,USD,check,False,False
TXN-00000035,2026-02-25,CUST-002570,CUST-000469,2389.17,MXN,check,False,False
TXN-00000036,2025-07-11,CUST-000657,CUST-001523,349.12,MXN,withdrawal,False,False
TXN-00000037,2025-06-10,CUST-002017,CUST-004743,3100.71,USD,ATM,False,False
TXN-00000038,2025-07-04,CUST-002592,CUST-002137,3583.8,USD,transfer,False,False
TXN-00000039,2025-04-19,CUST-002458,CUST-003746,3761.8,USD,deposit,False,False
TXN-00000040,2025-06-13,CUST-000820,CUST-000601,2534.36,USD,transfer,False,False
TXN-00000041,2025-11-23,CUST-003028,CUST-002335,4170.39,GBP,transfer,False,False
TXN-00000042,2025-04-28,CUST-004334,CUST-000065,2777.47,GBP,deposit,False,False
TXN-00000043,2026-01-19,CUST-002167,CUST-000946,3714.66,USD,transfer,False,False
TXN-00000044,2025-12-11,CUST-002809,CUST-001668,4266.03,EUR,wire,False,False
TXN-00000045,2026-03-02,CUST-000757,CUST-003470,229.99,USD,withdrawal,False,False
TXN-00000046,2025-11-14,CUST-001324,CUST-003620,2144.16,USD,deposit,False,False
TXN-00000047,2025-04-09,CUST-001222,CUST-004470,1852.39,EUR,withdrawal,False,False
TXN-00000048,2026-03-07,CUST-002526,CUST-002988,3982.65,MXN,deposit,False,False
TXN-00000049,2025-12-11,CUST-002045,CUST-000843,2803.82,MXN,wire,False,False
TXN-00000050,2026-01-08,CUST-001940,CUST-001332,44663.73,USD,withdrawal,False,False
TXN-00000051,2025-10-09,CUST-003373,CUST-002033,3939.0,USD,wire,False,False
TXN-00000052,2025-07-31,CUST-001823,CUST-001635,2306.91,USD,withdrawal,False,False
TXN-00000053,2025-04-25,CUST-001583,CUST-003265,4323.12,MXN,transfer,False,False
TXN-00000054,2025-07-11,CUST-003275,CUST-004393,147.73,USD,withdrawal,False,False
TXN-00000055,2025-11-13,CUST-000314,CUST-000889,1734.98,MXN,transfer,False,False
TXN-00000056,2025-07-10,CUST-000948,CUST-003156,958.49,USD,ATM,False,False
TXN-00000057,2025-07-05,CUST-004411,CUST-001615,359.17,GBP,transfer,False,False
TXN-00000058,2025-04-23,CUST-001021,CUST-002461,3337.8,USD,wire,False,False
TXN-00000059,2025-06-18,CUST-001043,CUST-001572,4702.41,GBP,ATM,False,False
TXN-00000060,2025-05-17,CUST-004663,CUST-002466,4170.29,USD,transfer,False,False
TXN-00000061,2025-06-05,CUST-004970,CUST-002640,2216.38,USD,check,False,False
TXN-00000062,2026-01-01,CUST-000695,CUST-002325,3168.37,USD,deposit,False,False
TXN-00000063,2025-11-28,CUST-002543,CUST-001841,745.3,USD,withdrawal,False,False
TXN-00000064,2025-05-20,CUST-000597,CUST-003731,3152.53,USD,ATM,False,False
TXN-00000065,2025-07-18,CUST-003274,CUST-001999,3441.24,MXN,deposit,False,False
TXN-00000066,2025-12-06,CUST-001441,CUST-004244,2791.45,MXN,deposit,False,False
TXN-00000067,2025-08-03,CUST-004352,CUST-004579,4750.7,USD,check,False,False
TXN-00000068,2025-07-13,CUST-003496,CUST-004489,804.2,MXN,wire,False,False
TXN-00000069,2025-11-22,CUST-002272,CUST-004271,1203.84,USD,deposit,False,False
TXN-00000070,2025-11-28,CUST-002226,CUST-002752,2705.36,USD,withdrawal,False,False
TXN-00000071,2025-04-07,CUST-001252,CUST-001753,2043.92,EUR,wire,False,False
TXN-00000072,2025-12-13,CUST-003442,CUST-003191,36298.53,MXN,check,False,False
TXN-00000073,2026-03-25,CUST-002882,CUST-002447,4268.71,MXN,wire,False,False
TXN-00000074,2025-06-22,CUST-004942,CUST-001807,1371.95,USD,deposit,False,False
TXN-00000075,2025-04-20,CUST-003313,CUST-001353,4598.51,EUR,check,False,False
TXN-00000076,2025-09-08,CUST-004849,CUST-004624,428.9,USD,withdrawal,False,False
TXN-00000077,2025-12-25,CUST-000412,CUST-002132,1066.18,USD,transfer,False,False
TXN-00000078,2025-09-15,CUST-002280,CUST-003454,418.71,USD,ATM,False,False
TXN-00000079,2025-09-30,CUST-001837,CUST-000563,3262.26,MXN,deposit,False,False
TXN-00000080,2025-12-16,CUST-000167,CUST-001249,2373.07,USD,check,False,False
TXN-00000081,2025-08-02,CUST-002100,CUST-003022,3040.16,GBP,ATM,False,False
TXN-00000082,2026-01-04,CUST-002549,CUST-000886,4645.15,EUR,ATM,False,False
TXN-00000083,2025-09-17,CUST-003250,CUST-001625,3456.17,GBP,withdrawal,False,False
TXN-00000084,2025-10-25,CUST-004919,CUST-000992,2834.0,USD,transfer,False,False
TXN-00000085,2025-04-24,CUST-003036,CUST-000565,1712.74,MXN,wire,False,False
TXN-00000086,2026-02-02,CUST-003552,CUST-002968,4145.25,GBP,withdrawal,False,False
TXN-00000087,2025-07-04,CUST-002213,CUST-004409,2329.72,MXN,ATM,False,False
TXN-00000088,2025-10-14,CUST-002012,CUST-000710,2259.5,MXN,wire,False,False
TXN-00000089,2025-04-20,CUST-003105,CUST-002756,4256.25,USD,wire,False,False
TXN-00000090,2025-11-16,CUST-002789,CUST-002291,3508.91,USD,check,True,False
TXN-00000091,2026-02-13,CUST-001978,CUST-003330,3793.24,GBP,wire,False,False
TXN-00000092,2025-07-20,CUST-003672,CUST-000142,1115.77,GBP,withdrawal,False,False
TXN-00000093,2025-06-04,CUST-003024,CUST-003877,1725.35,GBP,check,False,False
TXN-00000094,2025-04-03,CUST-003718,CUST-002220,1160.38,GBP,withdrawal,False,False
TXN-00000095,2025-06-27,CUST-001517,CUST-001570,2426.15,GBP,check,False,False
TXN-00000096,2025-07-03,CUST-004889,CUST-002319,18331.09,USD,withdrawal,False,False
TXN-00000097,2025-03-31,CUST-004376,CUST-001037,4871.73,EUR,transfer,False,False
TXN-00000098,2026-01-23,CUST-004022,CUST-000841,2874.58,USD,wire,False,False
TXN-00000099,2025-12-24,CUST-000421,CUST-002069,41995.2,USD,wire,False,False
TXN-00000100,2025-05-10,CUST-000440,CUST-001243,2818.57,USD,deposit,False,False
TXN-00000101,2026-01-27,CUST-004572,CUST-003410,3955.8,USD,check,False,False
TXN-00000102,2025-08-14,CUST-002436,CUST-004822,32946.23,EUR,ATM,False,False
TXN-00000103,2025-12-12,CUST-001729,CUST-002168,793.71,USD,check,False,False
TXN-00000104,2026-03-27,CUST-003347,CUST-003691,2354.86,USD,withdrawal,False,False
TXN-00000105,2025-11-04,CUST-003720,CUST-000584,4620.32,MXN,ATM,False,False
TXN-00000106,2025-12-17,CUST-003483,CUST-000941,3241.7,USD,withdrawal,False,False
TXN-00000107,2026-01-03,CUST-002520,CUST-004875,2850.34,USD,wire,False,False
TXN-00000108,2025-04-10,CUST-002492,CUST-003298,27220.78,USD,check,False,False
TXN-00000109,2025-08-19,CUST-002641,CUST-004946,465.72,GBP,check,False,False
TXN-00000110,2026-03-18,CUST-002208,CUST-004721,3783.78,USD,check,False,False
TXN-00000111,2025-11-06,CUST-001487,CUST-004796,4073.08,USD,wire,False,False
TXN-00000112,2025-10-09,CUST-002631,CUST-000857,1655.72,GBP,wire,False,False
TXN-00000113,2025-09-04,CUST-004507,CUST-000301,1579.44,USD,deposit,False,False
TXN-00000114,2025-09-03,CUST-004216,CUST-000010,2717.54,USD,deposit,False,False
TXN-00000115,2025-09-24,CUST-004084,CUST-003622,1025.76,EUR,withdrawal,False,False
TXN-00000116,2025-08-16,CUST-003971,CUST-000995,3153.81,MXN,withdrawal,False,False
TXN-00000117,2025-10-20,CUST-004513,CUST-000113,475.11,MXN,deposit,False,False
TXN-00000118,2026-01-27,CUST-001262,CUST-004083,36743.52,USD,wire,False,False
TXN-00000119,2025-11-24,CUST-003742,CUST-004516,961.15,EUR,check,False,False
TXN-00000120,2026-01-18,CUST-000572,CUST-002264,4273.52,USD,check,False,False
TXN-00000121,2026-03-27,CUST-002318,CUST-002446,2903.82,GBP,wire,False,False
TXN-00000122,2025-08-12,CUST-004413,CUST-003968,2764.07,EUR,wire,False,False
TXN-00000123,2025-10-15,CUST-001546,CUST-001957,1175.48,MXN,wire,False,False
TXN-00000124,2025-07-29,CUST-003124,CUST-003163,34340.86,USD,wire,False,False
TXN-00000125,2026-01-23,CUST-004115,CUST-004835,510.82,MXN,wire,False,False
TXN-00000126,2025-08-07,CUST-000126,CUST-001181,3277.36,USD,deposit,False,False
TXN-00000127,2025-11-13,CUST-002774,CUST-003257,4260.31,MXN,ATM,False,False
TXN-00000128,2025-09-15,CUST-002595,CUST-003998,189.14,USD,withdrawal,False,False
TXN-00000129,2025-11-01,CUST-001864,CUST-000741,501.23,GBP,ATM,False,False
TXN-00000130,2025-08-13,CUST-001363,CUST-002454,40826.46,USD,transfer,False,False
TXN-00000131,2026-01-13,CUST-002001,CUST-004352,3412.18,USD,withdrawal,False,False
TXN-00000132,2025-05-20,CUST-003134,CUST-001973,2919.95,USD,wire,False,False
TXN-00000133,2025-08-05,CUST-002092,CUST-000077,2331.61,USD,ATM,False,False
